id,customer_id,vacancy_id,ig_image_url,create_at,update_at,delete_at
1,1,1,https://example.com/ig_image1.jpg,2023-01-01 12:00:00,2023-01-01 12:00:01,
2,2,2,https://example.com/ig_image2.jpg,2023-01-02 12:01:00,2023-01-02 12:01:01,
3,3,3,https://example.com/ig_image3.jpg,2023-01-03 12:02:00,2023-01-03 12:02:01,
4,4,4,https://example.com/ig_image4.jpg,2023-01-04 12:03:00,2023-01-04 12:03:01,
5,5,5,https://example.com/ig_image5.jpg,2023-01-05 12:04:00,2023-01-05 12:04:01,
6,6,16,https://example.com/ig_image6.jpg,2023-01-06 12:05:00,2023-01-06 12:05:01,
7,7,17,https://example.com/ig_image7.jpg,2023-01-07 12:06:00,2023-01-07 12:06:01,
8,8,28,https://example.com/ig_image8.jpg,2023-01-08 12:07:00,2023-01-08 12:07:01,
9,9,29,https://example.com/ig_image9.jpg,2023-01-09 12:08:00,2023-01-09 12:08:01,
10,10,10,https://example.com/ig_image10.jpg,2023-01-10 12:09:00,2023-01-10 12:09:01,
11,11,10,https://example.com/ig_image11.jpg,2023-01-11 12:10:00,2023-01-11 12:10:01,
12,12,13,https://example.com/ig_image12.jpg,2023-01-12 12:11:00,2023-01-12 12:11:01,
13,13,13,https://example.com/ig_image13.jpg,2023-01-13 12:12:00,2023-01-13 12:12:01,
14,14,14,https://example.com/ig_image14.jpg,2023-01-14 12:13:00,2023-01-14 12:13:01,
15,15,17,https://example.com/ig_image15.jpg,2023-01-15 12:14:00,2023-01-15 12:14:01,
16,16,16,https://example.com/ig_image16.jpg,2023-01-16 12:15:00,2023-01-16 12:15:01,
17,17,17,https://example.com/ig_image17.jpg,2023-01-17 12:16:00,2023-01-17 12:16:01,
18,18,18,https://example.com/ig_image18.jpg,2023-01-18 12:17:00,2023-01-18 12:17:01,
19,19,39,https://example.com/ig_image19.jpg,2023-01-19 12:18:00,2023-01-19 12:18:01,
20,20,24,https://example.com/ig_image20.jpg,2023-01-20 12:19:00,2023-01-20 12:19:01,
21,21,25,https://example.com/ig_image21.jpg,2023-01-21 12:20:00,2023-01-21 12:20:01,
22,22,22,https://example.com/ig_image22.jpg,2023-01-22 12:21:00,2023-01-22 12:21:01,
23,23,23,https://example.com/ig_image23.jpg,2023-01-23 12:22:00,2023-01-23 12:22:01,
24,24,26,https://example.com/ig_image24.jpg,2023-01-24 12:23:00,2023-01-24 12:23:01,
25,25,29,https://example.com/ig_image25.jpg,2023-01-25 12:24:00,2023-01-25 12:24:01,
26,26,30,https://example.com/ig_image26.jpg,2023-01-26 12:25:00,2023-01-26 12:25:01,
27,27,30,https://example.com/ig_image27.jpg,2023-01-27 12:26:00,2023-01-27 12:26:01,
28,28,1,https://example.com/ig_image28.jpg,2023-01-28 12:27:00,2023-01-28 12:27:01,
29,29,2,https://example.com/ig_image29.jpg,2023-01-29 12:28:00,2023-01-29 12:28:01,
30,30,3,https://example.com/ig_image30.jpg,2023-01-30 12:29:00,2023-01-30 12:29:01,
31,31,3,https://example.com/ig_image31.jpg,2023-01-31 12:30:00,2023-01-31 12:30:01,
32,32,3,https://example.com/ig_image32.jpg,2023-02-01 12:31:00,2023-02-01 12:31:01,
33,33,43,https://example.com/ig_image33.jpg,2023-02-02 12:32:00,2023-02-02 12:32:01,
34,34,34,https://example.com/ig_image34.jpg,2023-02-03 12:33:00,2023-02-03 12:33:01,
35,35,35,https://example.com/ig_image35.jpg,2023-02-04 12:34:00,2023-02-04 12:34:01,
