id,created_at,updated_at,deleted_at,user_id,article_id
16,2024-06-06 20:38:15.942,,,1,9
17,2024-06-06 20:38:15.942,,,60,21
18,2024-06-06 20:38:15.942,,,52,20
19,2024-06-06 20:38:15.942,,,53,30
20,2024-06-06 20:38:15.942,,,54,11
21,2024-06-06 20:39:50.461,,,60,10
22,2024-06-07 19:47:01.644,,,64,15
23,2024-06-07 19:47:01.644,,,72,25
24,2024-06-07 19:47:01.644,,,63,29
25,2024-06-07 19:47:01.644,,,86,16
26,2024-06-07 19:47:01.644,,,75,22
27,2024-06-07 19:47:01.644,,,66,23
28,2024-06-07 19:47:01.644,,,55,13
29,2024-06-07 19:47:01.644,,,79,26
30,2024-06-07 19:47:01.644,,,71,17
31,2024-06-07 19:47:01.644,,,70,28
32,2024-06-07 19:47:01.644,,,56,24
33,2024-06-07 19:47:01.644,,,80,31
34,2024-06-07 19:47:01.644,,,61,19
35,2024-06-07 19:47:01.644,,,83,14
36,2024-06-07 19:47:01.644,,,86,27
37,2024-06-07 19:47:01.644,,,78,18
38,2024-06-07 19:47:01.644,,,1,12
