id,created_at,updated_at,deleted_at,user_id,volunteer_vacancies_id
16,2024-06-07 07:19:52.737,,,1,2
17,2024-06-07 07:19:52.737,,,52,4
18,2024-06-07 07:19:52.737,,,53,6
19,2024-06-07 07:19:52.737,,,54,3
20,2024-06-07 07:19:52.737,,,75,5
21,2024-06-07 18:27:48.688,,,61,1
22,2024-06-07 18:27:48.688,,,52,5
23,2024-06-07 18:27:48.688,,,73,7
24,2024-06-07 18:27:48.688,,,64,8
25,2024-06-07 18:27:48.688,,,65,9
26,2024-06-07 18:27:48.688,,,66,10
27,2024-06-07 18:27:48.688,,,55,29
28,2024-06-07 18:27:48.688,,,69,36
29,2024-06-07 18:27:48.688,,,70,33
30,2024-06-07 18:27:48.688,,,61,12
31,2024-06-07 18:27:48.688,,,80,32
32,2024-06-07 18:27:48.688,,,56,11
33,2024-06-07 18:27:48.688,,,73,30
34,2024-06-07 18:27:48.688,,,70,34
35,2024-06-07 18:27:48.688,,,86,35
36,2024-06-07 18:27:48.688,,,78,31
